"Carimbo de data/hora","Nome de usuário"," Qual o seu gênero?","Qual o seu grau de instrução?","Você usa corretivos visuais (ex: lentes de contato ou óculos)?","Qual a sua faixa etária?","Você faz uso frequente de alguma ferramenta de edição de vídeo?","Quanto tempo você utiliza algum software de edição de vídeo por semana?","Como você julga seu nível de conhecimento técnico em edição de vídeo?","Você já se flagrou cometendo algum erro repetidamente enquanto utilizava algum software de edição de vídeo?","Você já sentiu ou sente dificuldade em identificar os menus e as ferramentas de algum software de edição que você utiliza atualmente?","Com que frequência você costuma consultar informações técnicas de ajuda (independentemente da fonte de consulta) para auxiliar na realização de tarefas?"
"2024/05/19 2:58:19 PM GMT-3","rxxxxx@xxx.com","Masculino","Ensino superior completo","Não","31 - 35 anos","Sim","Entre 8h e 16h","Intermediário","Sim","Não","Às vezes sim"
"2024/05/21 9:08:23 PM GMT-3","dxxxxx@xxx.com","Masculino","Ensino superior completo","Não","26 - 30 anos","Não","Menos de 8h","Básico","Sim","Não","Às vezes sim"
"2024/05/23 10:34:41 AM GMT-3","bxxxxx@xxx.com","Masculino","Mestrado incompleto","Sim","Acima de 35 anos","Sim","Menos de 8h","Básico","Sim","Sim","Quase sempre"
"2024/05/30 9:24:26 PM GMT-3","jxxxxx@xxx.com","Masculino","Mestrado completo","Sim","Acima de 35 anos","Sim","Entre 24h e 36h","Avançado","Sim","Sim","Quase sempre"
"2024/06/05 10:28:46 AM GMT-3","axxxxx@xxx.com","Masculino","Ensino superior completo","Sim","31 - 35 anos","Sim","Entre 24h e 36h","Avançado","Sim","Não","Às vezes sim"
"2024/08/12 11:00:41 PM GMT-3","fxxxxx@xxx.com","Masculino","Ensino superior completo","Sim","31 - 35 anos","Sim","Entre 24h e 36h","Avançado","Sim","Não","Às vezes sim"
"2024/08/13 10:48:10 AM GMT-3","nxxxxx@xxx.com","Masculino","Ensino superior incompleto","Sim","31 - 35 anos","Não","Menos de 8h","Básico","Não","Não","Às vezes sim"
"2024/08/17 3:08:40 PM GMT-3","vxxxxx@xxx.com","Masculino","Ensino superior completo","Sim","26 - 30 anos","Sim","Entre 8h e 16h","Avançado","Não","Não","Sempre"
"2024/08/19 11:13:00 AM GMT-3","txxxxx@xxx.com","Masculino","Ensino superior incompleto","Não","Acima de 35 anos","Sim","Entre 24h e 36h","Intermediário","Sim","Não","Às vezes sim"
"2024/08/19 11:16:26 AM GMT-3","rxxxxx@xxx.com","Masculino","Ensino superior completo","Não","26 - 30 anos","Sim","Entre 8h e 16h","Intermediário","Sim","Sim","Quase sempre"
"2024/08/19 9:28:47 PM GMT-3","exxxxx@xxx.com","Feminino","Ensino superior completo","Não","26 - 30 anos","Sim","Mais de 36h","Avançado","Sim","Sim","Às vezes sim"
"2024/08/19 10:09:28 PM GMT-3","sxxxxx@xxx.com","Masculino","Mestrado completo","Não","Acima de 35 anos","Sim","Menos de 8h","Intermediário","Sim","Não","Às vezes sim"
